"Water","Nitrogen","Replicate","Yield"
"Low","Low",1,1.88790487068956
"Medium","Low",1,3.95396450210334
"High","Low",1,6.31174166282982
"Low","Medium",1,2.21410167828492
"Medium","Medium",1,4.42585754703219
"High","Medium",1,6.84301299737666
"Low","High",1,2.49218324119784
"Medium","High",1,4.54698775307869
"High","High",1,6.8626294296213
"Low","Low",2,1.91086760598001
"Medium","Low",2,4.24481635948789
"High","Low",2,6.07196276541147
"Low","Medium",2,2.28015429011881
"Medium","Medium",2,4.42213654318902
"High","Medium",2,6.38883177304919
"Low","High",2,2.75738262736062
"Medium","High",2,4.89957009564585
"High","High",2,6.60667656867407
"Low","Low",3,2.14027118031274
"Medium","Low",3,3.90544171845441
"High","Low",3,5.78643525880263
"Low","Medium",3,2.15640501706834
"Medium","Medium",3,4.19479911033855
"High","Medium",3,6.35422175414177
"Low","High",3,2.27499214643015
"Medium","High",3,4.46266133785152
"High","High",3,7.16755740889891
"Low","Low",4,2.0306746235673
"Medium","Low",4,3.77237261259761
"High","Low",4,6.25076298421398
"Low","Medium",4,2.28529284429536
"Medium","Medium",4,4.34098570340155
"High","Medium",4,6.679025132209
"Low","High",4,2.57562669750661
"Medium","High",4,4.9643162163275
"High","High",4,7.13772805082002
"Low","Low",5,2.11078353070752
"Medium","Low",5,3.98761765788466
"High","Low",5,5.93880746725202
"Low","Medium",5,2.12390579979752
"Medium","Medium",5,4.2610586042159
"High","Medium",5,6.45841654439608
"Low","High",5,2.14692072968635
"Medium","High",5,5.2337911930677
"High","High",5,7.241592399661
